n,plus,multi,square,compare
413,1.9e-05,1.9e-05,2.2e-05,2e-05
414,1.9e-05,1.9e-05,2.3e-05,1.9e-05
415,1.9e-05,1.9e-05,2.3e-05,1.9e-05
416,1.9e-05,1.9e-05,2.5e-05,2e-05
417,1.9e-05,1.9e-05,2.3e-05,1.9e-05
418,1.9e-05,1.9e-05,2.3e-05,2e-05
419,1.9e-05,1.9e-05,2.3e-05,1.9e-05
420,1.9e-05,1.9e-05,2.4e-05,1.9e-05
421,1.8e-05,2e-05,2.3e-05,1.9e-05
422,1.8e-05,1.9e-05,2.3e-05,1.9e-05
423,1.9e-05,1.9e-05,2.3e-05,1.9e-05
424,1.9e-05,1.9e-05,2.3e-05,2e-05
425,1.9e-05,1.9e-05,2.2e-05,2e-05
426,1.9e-05,2e-05,2.3e-05,1.9e-05
427,1.9e-05,1.9e-05,2.3e-05,1.9e-05
428,1.9e-05,1.9e-05,2.4e-05,2e-05
429,1.9e-05,1.9e-05,2.3e-05,1.9e-05
430,1.9e-05,1.9e-05,2.3e-05,2e-05
431,1.9e-05,1.9e-05,2.3e-05,2e-05
432,1.9e-05,1.9e-05,2.3e-05,1.9e-05
433,2.8e-05,1.9e-05,2.3e-05,1.9e-05
434,2e-05,2.1e-05,2.4e-05,2e-05
435,1.9e-05,1.9e-05,2.3e-05,2e-05
436,1.9e-05,1.9e-05,2.4e-05,2e-05
437,1.9e-05,1.9e-05,2.3e-05,2e-05
438,1.9e-05,1.9e-05,2.4e-05,1.9e-05
439,1.9e-05,1.9e-05,2.3e-05,2e-05
440,1.9e-05,1.9e-05,2.3e-05,1.9e-05
441,1.9e-05,1.9e-05,2.3e-05,2.4e-05
442,1.9e-05,2e-05,2.4e-05,2.1e-05
443,1.9e-05,1.9e-05,2.5e-05,2e-05
444,1.9e-05,2e-05,2.4e-05,2e-05
445,1.9e-05,1.9e-05,2.4e-05,2e-05
446,1.9e-05,1.9e-05,2.4e-05,1.9e-05
447,1.9e-05,1.9e-05,2.4e-05,2e-05
448,1.9e-05,1.9e-05,2.4e-05,2e-05
449,1.9e-05,2e-05,2.3e-05,2e-05
450,1.9e-05,1.9e-05,2.9e-05,2e-05
451,1.9e-05,1.9e-05,2.4e-05,2e-05
452,1.9e-05,1.9e-05,2.4e-05,2e-05
453,1.9e-05,1.9e-05,2.4e-05,2e-05
454,1.9e-05,1.9e-05,2.5e-05,2e-05
455,1.9e-05,1.9e-05,2.5e-05,2e-05
456,1.9e-05,2e-05,2.4e-05,2.4e-05
457,1.9e-05,1.9e-05,2.4e-05,2e-05
458,1.9e-05,1.9e-05,2.5e-05,2e-05
459,1.9e-05,1.9e-05,2.4e-05,2e-05
460,2e-05,2e-05,2.4e-05,2e-05
461,1.9e-05,1.9e-05,2.4e-05,2e-05
462,1.9e-05,1.9e-05,2.4e-05,2e-05
463,2e-05,2e-05,2.4e-05,2e-05
464,1.9e-05,1.9e-05,2.5e-05,2e-05
465,1.9e-05,1.9e-05,2.4e-05,2e-05
466,1.9e-05,1.9e-05,2.5e-05,2e-05
467,2e-05,1.9e-05,2.5e-05,1.9e-05
468,1.9e-05,2e-05,2.5e-05,2e-05
469,1.9e-05,2e-05,2.4e-05,2e-05
470,2e-05,2e-05,2.4e-05,2e-05
471,2e-05,1.9e-05,2.4e-05,2e-05
472,1.9e-05,1.9e-05,2.4e-05,2e-05
473,2.5e-05,1.9e-05,2.4e-05,2e-05
