n,plus,multi,minus
387,1.8e-05,1.8e-05,1.9e-05
388,1.9e-05,1.9e-05,1.8e-05
389,1.8e-05,1.8e-05,1.9e-05
390,1.8e-05,1.8e-05,1.9e-05
391,1.8e-05,1.9e-05,1.9e-05
392,2.3e-05,1.8e-05,1.9e-05
393,1.8e-05,1.9e-05,1.9e-05
394,1.9e-05,1.8e-05,1.9e-05
395,1.9e-05,1.8e-05,1.8e-05
396,1.8e-05,1.8e-05,1.8e-05
397,1.9e-05,2.4e-05,1.9e-05
398,1.8e-05,2e-05,1.9e-05
399,1.9e-05,1.9e-05,1.9e-05
400,1.8e-05,1.8e-05,1.9e-05
401,1.9e-05,1.8e-05,1.9e-05
402,1.8e-05,1.9e-05,1.8e-05
403,1.9e-05,1.8e-05,1.9e-05
404,1.9e-05,1.9e-05,1.9e-05
405,1.8e-05,1.8e-05,1.9e-05
406,1.9e-05,1.8e-05,1.8e-05
407,1.9e-05,1.9e-05,2.4e-05
408,1.8e-05,1.8e-05,1.9e-05
409,1.9e-05,1.9e-05,1.9e-05
410,1.8e-05,1.9e-05,1.9e-05
411,1.8e-05,1.8e-05,1.9e-05
412,1.8e-05,1.9e-05,1.9e-05
413,1.8e-05,1.9e-05,1.9e-05
414,1.9e-05,1.8e-05,1.9e-05
415,1.8e-05,1.9e-05,1.9e-05
416,1.9e-05,1.9e-05,1.9e-05
417,1.9e-05,1.9e-05,1.9e-05
418,1.8e-05,1.9e-05,1.9e-05
419,1.8e-05,1.9e-05,1.9e-05
420,1.9e-05,1.8e-05,1.9e-05
421,1.9e-05,1.8e-05,1.9e-05
422,1.9e-05,1.9e-05,2e-05
423,1.8e-05,1.9e-05,1.9e-05
424,2.3e-05,1.9e-05,2e-05
425,2e-05,1.8e-05,2e-05
426,1.9e-05,1.8e-05,1.9e-05
427,1.9e-05,1.9e-05,1.9e-05
428,1.9e-05,1.9e-05,1.9e-05
429,1.9e-05,1.9e-05,2e-05
430,1.8e-05,1.9e-05,1.9e-05
431,1.9e-05,1.9e-05,1.9e-05
432,1.9e-05,1.9e-05,1.9e-05
433,2.3e-05,1.9e-05,1.9e-05
434,2e-05,1.9e-05,1.9e-05
435,1.9e-05,1.9e-05,2e-05
436,1.9e-05,1.9e-05,1.9e-05
437,1.9e-05,1.8e-05,1.9e-05
438,1.9e-05,1.8e-05,1.9e-05
439,1.9e-05,2.6e-05,1.9e-05
440,1.9e-05,2e-05,1.9e-05
441,1.9e-05,1.9e-05,1.9e-05
442,1.8e-05,1.9e-05,1.9e-05
443,1.9e-05,1.9e-05,1.9e-05
444,1.9e-05,1.9e-05,2e-05
445,1.9e-05,1.8e-05,1.9e-05
446,1.9e-05,1.8e-05,1.9e-05
447,1.9e-05,1.9e-05,1.9e-05
448,1.9e-05,1.9e-05,2.1e-05
449,1.9e-05,1.9e-05,2e-05
450,1.9e-05,1.9e-05,2e-05
451,1.8e-05,1.9e-05,1.9e-05
452,1.9e-05,1.9e-05,1.9e-05
453,1.9e-05,2e-05,1.9e-05
454,1.9e-05,1.9e-05,1.9e-05
455,1.9e-05,2e-05,1.9e-05
456,1.8e-05,1.9e-05,1.9e-05
457,1.9e-05,2e-05,2e-05
458,1.9e-05,1.9e-05,2e-05
459,1.9e-05,1.9e-05,2e-05
460,1.9e-05,1.9e-05,2e-05
461,2e-05,1.9e-05,2e-05
462,1.9e-05,1.9e-05,2e-05
463,1.9e-05,1.9e-05,1.9e-05
464,1.9e-05,1.9e-05,2e-05
465,2.4e-05,2e-05,2e-05
466,2.1e-05,1.9e-05,1.9e-05
467,1.9e-05,1.9e-05,2e-05
468,1.9e-05,1.9e-05,2e-05
469,1.9e-05,1.9e-05,2e-05
470,1.9e-05,2e-05,2e-05
471,1.9e-05,1.9e-05,1.9e-05
472,1.9e-05,1.9e-05,2e-05
473,1.9e-05,1.9e-05,1.9e-05
474,1.9e-05,1.9e-05,2e-05
475,1.9e-05,1.9e-05,2e-05
476,1.9e-05,2e-05,1.9e-05
477,2e-05,1.9e-05,2e-05
478,1.9e-05,1.9e-05,2e-05
479,1.9e-05,1.9e-05,2e-05
480,2e-05,2.2e-05,2e-05
481,1.9e-05,2e-05,2e-05
482,1.9e-05,1.9e-05,2e-05
483,1.9e-05,1.9e-05,2e-05
484,2e-05,1.9e-05,2e-05
485,1.9e-05,1.9e-05,1.9e-05
486,1.9e-05,1.9e-05,2e-05
487,1.9e-05,1.9e-05,2.4e-05
488,2e-05,1.9e-05,2e-05
489,1.9e-05,1.9e-05,2e-05
490,1.9e-05,1.9e-05,2e-05
491,1.9e-05,1.9e-05,2e-05
492,1.9e-05,1.9e-05,2e-05
493,1.9e-05,1.9e-05,2e-05
494,1.9e-05,1.9e-05,2e-05
495,1.9e-05,2e-05,2e-05
496,2e-05,1.9e-05,2e-05
497,2.3e-05,1.9e-05,2e-05
498,2e-05,1.9e-05,2e-05
499,1.9e-05,2e-05,2e-05
500,2e-05,2e-05,2e-05
501,2e-05,2e-05,2e-05
502,1.9e-05,2e-05,2e-05
503,2e-05,2e-05,2e-05
504,2e-05,1.9e-05,2e-05
505,2.5e-05,2e-05,2e-05
506,2.1e-05,2e-05,2e-05
507,2e-05,2e-05,2e-05
508,2e-05,1.9e-05,2e-05
509,2e-05,2e-05,2e-05
510,2e-05,2e-05,2e-05
511,1.9e-05,1.9e-05,2e-05
512,1.9e-05,1.9e-05,2e-05
513,1.9e-05,2e-05,2e-05
514,2e-05,2e-05,2e-05
515,2e-05,1.9e-05,2.1e-05
516,2e-05,2e-05,2.1e-05
517,2e-05,2e-05,2e-05
518,2e-05,1.9e-05,2e-05
519,2e-05,2.7e-05,2e-05
520,1.9e-05,2.1e-05,2.1e-05
521,2e-05,2e-05,2e-05
522,1.9e-05,2e-05,2.1e-05
523,2e-05,2e-05,2e-05
524,2e-05,2e-05,2.1e-05
525,1.9e-05,2e-05,2.6e-05
526,2e-05,2e-05,2e-05
527,2e-05,2e-05,2.1e-05
